timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
550294462,550293793,45936231,42.3585499,-71.08724959999999,4.005656,-3.251176,5.258935,-5.0257313e-05,0.00017889676,0.0,0.057210315,0.040214617,0.026640499,0.0136227915,-0.00027487415,-0.058527347,0.14861168,-0.015990218,0.009138266,0.003126106,2.5782545,0.053713392,5.8792515,0.1,0.6212774,0.46119174,0.20014925,0.1267542,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
550792150,550791524,45936231,42.3585499,-71.08724959999999,4.0167794,-3.240971,5.2541714,-5.0257313e-05,0.00017889676,0.0,0.04418909,0.04361793,0.036170963,0.0121737635,-0.00027487415,-0.058527347,0.14861168,0.013725519,0.009182031,0.030082628,2.5779269,0.053713392,5.8792515,0.1,0.6011009,0.45733306,0.18947403,0.124420404,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
551289883,551289255,45936231,42.3585499,-71.08724959999999,4.024909,-3.2459068,5.2355394,-5.0257313e-05,0.00017889676,0.0,0.039930537,0.035373706,0.028102368,-0.013560015,-0.00027487415,-0.058527347,0.14861168,-0.01027968,-0.0037422732,0.0074659153,2.5779212,0.053713392,5.8792515,0.1,0.6076021,0.45794365,0.19169153,0.12464163,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
551787508,551786987,45936231,42.3585499,-71.08724959999999,4.04621,-3.260104,5.2141547,-5.0257313e-05,0.00017889676,0.0,0.03856303,0.025993053,0.021689972,-0.028728437,-0.00027487415,-0.058527347,0.14861168,-0.034097005,-0.010585242,0.070840806,2.5778756,0.053713392,5.8792515,0.1,0.5907691,0.45504817,0.18503089,0.1230746,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
552285295,552284718,45936231,42.3585499,-71.08724959999999,4.0930033,-3.2739384,5.2003355,-5.0257313e-05,0.00017889676,0.0,0.04374165,0.022570552,0.018736927,-0.03132316,-0.00027487415,-0.058527347,0.14861168,0.0021407483,0.017730858,0.005988732,2.5776687,0.053713392,5.8792515,0.1,0.6011286,0.45356113,0.1910235,0.12379154,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
552792994,552792404,45936231,42.3585499,-71.08724959999999,4.105725,-3.2864792,5.185441,-5.0257313e-05,0.00017889676,0.0,0.034834195,0.018822514,0.01967439,-0.02902579,-0.00027487415,-0.058527347,0.14861168,-0.005810771,0.003200268,-0.016255993,2.5778008,0.053713392,5.8792515,0.1,0.5822423,0.45009074,0.18173534,0.12168098,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
553290696,553290135,45936231,42.3585499,-71.08724959999999,4.123973,-3.3088138,5.1894975,-5.0257313e-05,0.00017889676,0.0,0.031658016,0.0136908535,0.02852794,-0.0070527336,-0.00027487415,-0.058527347,0.14861168,-0.00074864214,-0.016332421,-0.07996726,2.5777247,0.053713392,5.8792515,0.10177708,0.58633286,0.45010296,0.18346944,0.12187039,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
553788476,553787867,45936231,42.3585499,-71.08724959999999,4.162719,-3.361038,5.206116,-5.0257313e-05,0.00017889676,0.0,0.041501526,-0.0073500783,0.03391587,0.014085795,-0.00027487415,-0.058527347,0.14861168,-0.0142070055,-0.0049521946,-0.0054857307,2.5776052,0.053713392,5.8792515,0.1,0.56742465,0.44577172,0.17590328,0.11985005,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
554286127,554285598,45936231,42.3585499,-71.08724959999999,4.1619477,-3.3953938,5.2009144,-5.0257313e-05,0.00017889676,0.0,0.03137623,-0.016151184,0.029044876,0.0005581433,-0.00027487415,-0.058527347,0.14861168,0.02346483,0.008028307,0.052506972,2.5776412,0.053713392,5.8792515,0.1,0.5741002,0.44365844,0.18074949,0.12047064,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
554793864,554793284,45936231,42.3585499,-71.08724959999999,4.1468987,-3.4078798,5.1874576,-5.0257313e-05,0.00017889676,0.0,0.013763741,-0.013009529,0.034811314,-0.00468407,-0.00027487415,-0.058527347,0.14861168,0.00067839795,-0.013718742,-0.05163574,2.5777302,0.053713392,5.8792515,0.1,0.5636146,0.44372278,0.1793969,0.120420046,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
555291708,555291016,45936231,42.3585499,-71.08724959999999,4.0915947,-3.3439934,5.1698437,-5.0257313e-05,0.00017889676,0.0,-0.008011413,0.018110579,0.026305942,-0.021489289,-0.00027487415,-0.058527347,0.14861168,0.0005699803,0.019235821,-0.098327994,2.5773664,0.053713392,5.8792515,0.1,0.5727891,0.44644904,0.18539946,0.121974036,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
555789378,555788748,45936231,42.3585499,-71.08724959999999,4.0589275,-3.33742,5.150507,-5.0257313e-05,0.00017889676,0.0,-0.023034811,0.01871928,0.028176738,-0.02598345,-0.00027487415,-0.058527347,0.14861168,-0.027271934,0.012024676,0.014530408,2.5772033,0.053713392,5.8792515,0.1,0.5512218,0.43738717,0.17311378,0.118487775,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
556287226,556286479,45936231,42.3585499,-71.08724959999999,4.040596,-3.3176038,5.128769,-5.0257313e-05,0.00017889676,0.0,-0.030803947,0.026929935,0.020786624,-0.036138922,-0.00027487415,-0.058527347,0.14861168,-0.006810292,0.0047876947,0.031041458,2.5772762,0.053713392,5.8792515,0.1,0.56273496,0.44152007,0.18232878,0.12091266,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
556784759,556784211,45936231,42.3585499,-71.08724959999999,4.062973,-3.3164034,5.1166487,-5.0257313e-05,0.00017889676,0.0,-0.015409511,0.02610631,0.012742363,-0.036131654,-0.00027487415,-0.058527347,0.14861168,0.023928389,-0.0022603977,0.04113275,2.577025,0.053713392,5.8792515,0.10360241,0.5495892,0.44006565,0.17772076,0.12004177,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
557292449,557291898,45936231,42.3585499,-71.08724959999999,4.09144,-3.3158853,5.0970535,-5.0257313e-05,0.00017889676,0.0,-0.002886691,0.022482017,0.0046573826,-0.043981224,-0.00027487415,-0.058527347,0.14861168,-0.027994925,0.016271804,0.044992026,2.5766068,0.053713392,5.8792515,0.10220146,0.567885,0.44712925,0.19046009,0.1234812,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
557790343,557789629,45936231,42.3585499,-71.08724959999999,4.1076965,-3.3227165,5.073568,-5.0257313e-05,0.00017889676,0.0,-0.0026969914,0.018481206,0.00544193,-0.042967454,-0.00027487415,-0.058527347,0.14861168,-0.015770141,-0.010702717,0.035124533,2.5765889,0.053713392,5.8792515,0.10094881,0.56248,0.44539568,0.1906123,0.12358016,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
558287901,558287361,45936231,42.3585499,-71.08724959999999,4.12932,-3.3184867,5.0663505,-5.0257313e-05,0.00017889676,0.0,-0.0019427281,0.019851374,0.0043161158,-0.03108698,-0.00027487415,-0.058527347,0.14861168,-0.004237636,-0.018254574,0.032920945,2.5766175,0.053713392,5.8792515,0.11105585,0.57681686,0.44962233,0.19676207,0.12525946,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
558785624,558785093,45936231,42.3585499,-71.08724959999999,4.1625104,-3.2984796,5.0740895,-5.0257313e-05,0.00017889676,0.0,0.0077907336,0.02455009,0.0102128135,-0.010391728,-0.00027487415,-0.058527347,0.14861168,0.001416533,0.0011600507,-0.057584077,2.5765834,0.053713392,5.8792515,0.10302782,0.5648586,0.44913912,0.19053626,0.12434671,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
559283359,559282825,45936231,42.3585499,-71.08724959999999,4.1753883,-3.3402424,5.0654483,-5.0257313e-05,0.00017889676,0.0,0.010546899,0.00015669502,0.0060381037,-0.017721472,-0.00027487415,-0.058527347,0.14861168,-0.035905704,-0.018819638,0.0009913805,2.5766625,0.053713392,5.8792515,0.1,0.5757877,0.4520518,0.19402386,0.12526484,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
559791229,559790512,45936231,42.3585499,-71.08724959999999,4.182719,-3.3471875,5.0633073,-5.0257313e-05,0.00017889676,0.0,0.009639492,-0.0026197666,0.004977071,-0.012164162,-0.00027487415,-0.058527347,0.14861168,-0.038987834,0.0021070794,0.14276424,2.5764384,0.053713392,5.8792515,0.10974836,0.5652532,0.44863623,0.18911155,0.12402429,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
