timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
561961108,561861078,2490378,-0.018224092,0.0021542138,-0.004259923,0.34906584,2.0278641e-07,2.026069e-07,4.3017914e-07,2490378,-0.2671002,0.30423486,-0.13521609,0.4,0.000507645,0.000507927,0.0005045675,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
562966444,562866497,2490378,-0.018210432,0.0021557142,-0.004218684,0.34906584,2.0305912e-07,2.0287536e-07,4.304967e-07,2490378,-0.26709837,0.3042363,-0.13492915,0.4,0.0005077339,0.0005080162,0.000504566,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
563971836,563871917,2490378,-0.01822179,0.0021625904,-0.004176955,0.34906584,2.0336935e-07,2.0318218e-07,4.3081417e-07,2490378,-0.26709247,0.3042367,-0.13537239,0.4,0.000507822,0.0005081045,0.0005045663,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
564977254,564877337,2490378,-0.01824365,0.002151652,-0.0041266964,0.34906584,2.0460368e-07,2.0441459e-07,4.3038878e-07,2490378,-0.26708385,0.30424085,-0.13530605,0.4,0.0005079101,0.0005081927,0.00050456374,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
565982703,565882756,2490378,-0.018239113,0.0021631632,-0.0040746965,0.34906584,2.0436711e-07,2.0417362e-07,4.307082e-07,2490378,-0.26707852,0.30424055,-0.13533573,0.4,0.0005080002,0.0005082828,0.00050456665,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
566988093,566888176,2490378,-0.018198522,0.002166936,-0.004033206,0.34906584,2.0476338e-07,2.0456717e-07,4.3028425e-07,2490378,-0.26708105,0.3042399,-0.13544632,0.4,0.00050809,0.0005083726,0.0005045639,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
567993553,567893596,2490378,-0.018133873,0.0021373108,-0.0039967797,0.34906584,2.0614642e-07,2.0594966e-07,4.3060774e-07,2490378,-0.26708642,0.30424446,-0.13613787,0.4,0.00050817966,0.00050846237,0.0005045629,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
568998977,568899016,2490378,-0.018198507,0.0021817104,-0.003957977,0.34906584,2.0710564e-07,2.0690898e-07,4.30185e-07,2490378,-0.26707208,0.30423802,-0.13621415,0.4,0.0005082693,0.0005085521,0.00050456554,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
569915604,569814844,2490378,-0.018218752,0.0021468275,-0.0039199344,0.34906584,2.0536443e-07,2.0516549e-07,4.3035408e-07,2490378,-0.2670596,0.304244,-0.13721474,0.4,0.000508351,0.0005086339,0.0005045629,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
570641497,570541534,2490378,-0.018223647,0.0021451765,-0.0038921735,0.34906584,2.0825145e-07,2.0805524e-07,4.3013844e-07,2490378,-0.2670559,0.30424488,-0.13613221,0.4,0.00050841563,0.0005086986,0.00050456263,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
