timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
544077436,544077424,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544122340,544122327,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544172150,544172137,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544226786,544226773,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544276582,544276568,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544326314,544326301,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544376071,544376058,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544425846,544425833,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544475626,544475610,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544525494,544525468,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544575209,544575197,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544624940,544624927,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544674717,544674704,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544724489,544724476,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544774263,544774251,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544824031,544824019,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544873802,544873789,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544928722,544928709,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544973351,544973338,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
545023130,545023118,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
545078257,545078244,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
545128066,545128053,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
545172445,545172432,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
