timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
584886773,250772299,2,2490378,4028193,2490378,396321,0.035909258,0.039337363,0.0369384,0.03935835,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
585892201,250772299,2,2490378,4028193,2490378,396321,0.011533639,0.011431927,0.01334339,0.01121425,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
586897713,250772299,2,2490378,4028193,2490378,396321,0.044697665,0.049160004,0.039523736,0.04938855,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
587903297,250772299,2,2490378,4028193,2490378,396321,0.030230047,0.01889188,0.027772805,0.020019554,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
588908412,250772299,2,2490378,4028193,2490378,396321,0.035847664,0.030391203,0.03511365,0.031248892,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
589913915,250772299,2,2490378,4028193,2490378,396321,0.022751689,0.030725408,0.02433262,0.030499186,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
590919291,250772299,2,2490378,4028193,2490378,396321,0.06334217,0.055442233,0.062107567,0.055459652,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
591924827,250772299,2,2490378,4028193,2490378,396321,0.06531434,0.058930382,0.064519264,0.059020247,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
592930116,250772299,2,2490378,4028193,2490378,396321,0.039245136,0.046649113,0.03909553,0.04704059,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
593935512,250772299,2,2490378,4028193,2490378,396321,0.015796598,0.03167802,0.021593502,0.032062158,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
594940986,250772299,2,2490378,4028193,2490378,396321,0.07356298,0.028475065,0.06851718,0.02813808,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
595946337,250772299,2,2490378,4028193,2490378,396321,0.037158255,0.036739144,0.045955516,0.03658813,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
596952158,250772299,2,2490378,4028193,2490378,396321,0.06289766,0.023898877,0.05872099,0.02313552,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
597957229,250772299,2,2490378,4028193,2490378,396321,0.03808386,0.025718058,0.036422286,0.02620192,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
598962608,250772299,2,2490378,4028193,2490378,396321,0.044580072,0.018805938,0.04380382,0.018080203,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
599968075,250772299,2,2490378,4028193,2490378,396321,0.04239904,0.026812106,0.042905435,0.026022702,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
