timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
647112172,646981642,0.0719027,0.018975597,0.009004356,1,0,0,0,0,0,0,0,0,0,0
648107570,647973636,0.07216296,0.026372673,0.011754798,1,0,0,0,0,0,0,0,0,0,0
649103094,648974637,0.07429707,0.051841184,0.011538467,1,0,0,0,0,0,0,0,0,0,0
650098464,649969636,0.09357753,0.09152364,0.006444652,1,0,0,0,0,0,0,0,0,0,0
651103878,650979332,0.10075665,0.10595824,0.0005311963,1,0,0,0,0,0,0,0,0,0,0
652109204,651981636,0.10092051,0.116391465,0.0010037774,1,0,0,0,0,0,0,0,0,0,0
653105333,652973635,0.09117502,0.12430214,0.0062421667,1,0,0,0,0,0,0,0,0,0,0
654100055,653973635,0.0857915,0.12655434,0.0039150566,1,0,0,0,0,0,0,0,0,0,0
655115448,654984635,0.07113211,0.09572179,0.009552598,1,0,0,0,0,0,0,0,0,0,0
656110879,655983638,0.0648182,0.08191885,0.006575066,1,0,0,0,0,0,0,0,0,0,0
657116186,656983636,0.066703215,0.0870752,0.0073743984,1,0,0,0,0,0,0,0,0,0,0
658101800,657972636,0.06846159,0.08809895,0.009088345,1,0,0,0,0,0,0,0,0,0,0
659107030,658978637,0.0703238,0.07466166,0.015958942,1,0,0,0,0,0,0,0,0,0,0
660102457,659974638,0.076307245,0.07691376,0.018734148,1,0,0,0,0,0,0,0,0,0,0
661107840,660979643,0.07831836,0.0682701,0.02682067,1,0,0,0,0,0,0,0,0,0,0
662113223,661979636,0.08182564,0.07037454,0.045123935,1,0,0,0,0,0,0,0,0,0,0
663108727,662981636,0.08832363,0.055256665,0.058315728,0,0,0,0,0,0,0,0,0,0,0
664104176,663978637,0.093933746,0.05452593,0.054173525,0,0,0,0,0,0,1,0,0,0,0
665109418,664976635,0.10371086,0.05494215,0.07102081,0,0,0,0,0,0,0,0,0,0,0
666104865,665975636,0.07870751,0.037918612,0.041490432,0,0,0,0,0,0,0,0,0,0,0
667110265,666981641,0.07250823,0.023796659,0.050412413,0,0,0,0,0,0,0,0,0,0,0
668105637,667977932,0.06328665,0.03178037,0.039684426,0,0,0,0,0,0,0,0,0,0,0
669111064,668978643,0.0532332,0.027111758,0.030791309,0,0,0,0,0,0,0,0,0,0,0
670106437,669978705,0.048894376,0.014816733,0.024537357,0,0,0,0,0,0,0,0,0,0,0
671111780,670979634,0.048396334,0.0028086866,0.025060246,0,0,0,0,0,0,0,0,0,0,0
672107348,671982732,0.035480607,0.026408331,0.025903914,0,0,0,0,0,0,0,0,0,0,0
673112701,672981636,0.022795025,0.047610335,0.025541967,0,0,0,0,0,0,0,0,0,0,0
674157805,674031636,0.019564627,0.051841147,0.018091956,0,0,0,0,0,0,0,0,0,0,0
675163182,675030634,0.030885449,0.04294202,0.01845665,1,0,0,0,0,0,0,0,0,0,0
676148592,676020656,0.066761024,0.026029509,0.0095982645,1,0,0,0,0,0,0,0,0,0,0
677153995,677029309,0.09196087,0.007316422,0.01772471,1,0,0,0,0,0,0,0,0,0,0
678159309,678034733,0.11920025,0.00858863,0.0028293787,1,0,0,0,0,0,0,0,0,0,0
679154687,679022650,0.11452763,0.01135944,0.01054591,1,0,0,0,0,0,0,0,0,0,0
680140185,680012637,0.1287265,0.0010721477,0.0060456432,1,0,0,0,0,0,0,0,0,0,0
681155672,681026636,0.13449614,0.007575084,0.010725478,1,0,0,0,0,0,0,0,0,0,0
682161485,682026637,0.13389738,0.016243456,0.0055818562,1,0,0,0,0,0,0,0,0,0,0
683146273,683017636,0.11991933,0.030545803,0.007205371,1,0,0,0,0,0,0,0,0,0,0
684141710,684012651,0.120407075,0.017624294,0.009848521,1,0,0,0,0,0,0,0,0,0,0
685156976,685025636,0.121933945,0.017191982,0.007423676,1,0,0,0,0,0,0,0,0,0,0
686152441,686020637,0.11893783,0.023769569,0.0074437796,1,0,0,0,0,0,0,0,0,0,0
687147815,687017774,0.109222315,0.038224056,0.0106257675,1,0,0,0,0,0,0,0,0,0,0
688153193,688024861,0.09171892,0.05197071,0.008116454,1,0,0,0,0,0,0,0,0,0,0
689148610,689022636,0.07966337,0.051707767,0.007688952,1,0,0,0,0,0,0,0,0,0,0
690144029,690017636,0.0801866,0.042258564,0.009593536,1,0,0,0,0,0,0,0,0,0,0
691150006,691024990,0.12816033,0.015725859,0.014188139,1,0,0,0,0,0,0,0,0,0,0
692154652,692022638,0.13442087,0.019398184,0.015049647,1,0,0,0,0,0,0,0,0,0,0
693140106,693014637,0.14062138,0.031508353,0.0142986905,1,0,0,0,0,0,0,0,0,0,0
694145449,694014638,0.16219644,0.039211996,0.013732746,1,0,0,0,0,0,0,0,0,0,0
695140904,695014637,0.17811805,0.03250535,0.01389722,1,0,0,0,0,0,0,0,0,0,0
696146268,696019643,0.18164766,0.037130456,0.010326789,1,0,0,0,0,0,0,0,0,0,0
697151568,697019638,0.19338086,0.030411376,0.009180645,1,0,0,0,0,0,0,0,0,0,0
698156918,698027638,0.19093001,0.055529613,0.012642601,1,0,0,0,0,0,0,0,0,0,0
699162266,699031638,0.18708482,0.07334138,0.011254663,1,0,0,0,0,0,0,0,0,0,0
700168212,700034638,0.16988394,0.09927204,0.008655357,1,0,0,0,0,0,0,0,0,0,0
701163072,701038638,0.14532201,0.11021479,0.014088469,1,0,0,0,0,0,0,0,0,0,0
702168339,702040639,0.137549,0.108624615,0.008136653,1,0,0,0,0,0,0,0,0,0,0
