timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
541853160,541852280,2490378,8039.878,15.702887,109.920204,62.936043,nan,78.514435,63.601322,nan,94.217316,nan,nan,8.97857,9.001184,nan,8.334182,8.457441,nan,6.9761076,nan,nan
541927476,541926939,2490378,8039.878,15.702887,109.920204,62.811546,nan,77.97701,63.3762,nan,94.217316,nan,nan,8.97857,8.186952,nan,8.703669,7.3688803,nan,6.9761076,nan,nan
541962577,541959293,2490378,8039.878,15.702887,109.848724,62.811546,121.96462,77.97701,62.813225,nan,94.217316,nan,nan,8.295493,8.186952,10.464441,8.703669,7.1038146,nan,6.9761076,nan,nan
542022389,542021508,2490378,8039.878,15.702887,109.920204,62.811546,124.433975,77.97701,62.813225,nan,94.217316,nan,nan,8.841295,8.186952,8.22143,6.508105,7.1038146,nan,7.8098674,nan,nan
542072120,542071281,2490378,8039.878,15.702887,109.920204,nan,124.433975,77.97701,nan,nan,94.217316,94.217316,94.217316,8.841295,nan,7.5252066,10.053677,nan,nan,7.8098674,7.309141,7.2171707
542121894,542118565,2490378,8039.878,15.702887,109.848724,nan,125.62309,77.97701,nan,nan,94.217316,94.217316,94.217316,7.437503,nan,6.567102,10.053677,nan,nan,7.092327,7.309141,7.2171707
542166357,542165850,2490378,8039.878,15.702887,109.920204,nan,125.62309,77.97701,nan,nan,94.217316,94.217316,94.217316,8.882545,nan,8.586987,10.053677,nan,nan,7.092327,7.514336,7.2171707
542226131,542223089,2490378,8039.878,15.702887,109.920204,62.811546,125.69457,77.97701,nan,nan,94.217316,94.217316,nan,8.882545,7.2233677,7.0354395,10.053677,nan,nan,7.5204926,7.514336,nan
542261196,542260419,2490378,8039.878,15.702887,109.920204,62.811546,125.62309,77.97701,nan,nan,94.217316,94.217316,94.217316,8.882545,7.2233677,8.843008,10.053677,nan,nan,7.5204926,7.514336,7.1322875
542311006,542310192,2490378,8039.878,15.702887,109.920204,nan,125.62309,77.97701,nan,nan,94.217316,94.217316,94.217316,7.1380396,nan,8.359529,10.053677,nan,nan,7.5204926,7.514336,7.1322875
542375437,542372408,2490378,8039.878,15.702887,109.920204,109.920204,125.62309,77.97701,nan,nan,94.217316,nan,nan,7.1380396,6.783184,7.2400494,10.053677,nan,nan,7.5757427,nan,nan
542420569,542419692,2490378,8039.878,15.702887,109.920204,109.920204,125.62309,77.97701,nan,nan,94.217316,94.217316,94.217316,6.8568554,6.783184,7.2400494,10.053677,nan,nan,7.5757427,7.1877103,7.3037457
542455038,542452045,2490378,8039.878,15.702887,109.920204,109.920204,125.62309,77.97701,nan,nan,94.217316,94.217316,94.217316,6.8568554,8.505387,7.2400494,10.053677,nan,nan,6.8473167,7.1877103,7.3037457
542520066,542516750,2490378,8039.878,15.702887,109.920204,109.920204,125.62309,77.97701,nan,nan,94.217316,94.217316,94.217316,6.8568554,8.505387,7.110387,10.053677,nan,nan,6.8473167,7.1877103,7.3037457
542579743,542578966,2490378,8039.878,15.702887,109.920204,nan,125.62309,77.97701,nan,nan,94.217316,94.217316,94.217316,7.392787,nan,7.110387,10.053677,nan,nan,6.8473167,7.1877103,7.3037457
542614348,542611319,2490378,8039.878,15.702887,109.920204,nan,125.62309,78.514435,nan,nan,94.217316,nan,nan,7.392787,nan,7.5001087,8.646451,nan,nan,7.823183,nan,nan
542669461,542668558,2490378,8039.878,15.702887,109.920204,109.920204,125.62309,78.514435,nan,nan,94.217316,94.217316,nan,7.392787,8.388472,8.162556,8.676405,nan,nan,7.823183,7.451254,nan
542723939,542723308,2490378,8039.878,15.702887,110.709984,109.920204,125.62309,78.514435,nan,nan,94.217316,94.217316,nan,8.538369,9.050876,8.162556,8.676405,nan,nan,7.823183,7.451254,nan
542773581,542770592,2490378,8039.878,15.702887,110.709984,109.920204,125.62309,78.514435,nan,nan,94.217316,94.217316,nan,8.538369,9.050876,7.470065,8.676405,nan,nan,7.823183,7.451254,nan
542813401,542812899,2490378,8039.878,15.702887,110.709984,110.04637,125.62309,78.514435,nan,nan,94.217316,nan,nan,8.538369,6.529456,7.470065,8.676405,nan,nan,6.8398924,nan,nan
542883164,542882582,2490378,8039.878,15.702887,125.62309,110.04637,nan,78.514435,nan,nan,94.217316,nan,nan,7.615699,6.529456,nan,8.676405,nan,nan,6.8398924,nan,nan
542918649,542914934,2490378,8039.878,15.702887,125.62309,nan,nan,78.514435,nan,nan,94.217316,94.217316,nan,7.411504,nan,nan,8.676405,nan,nan,6.8398924,6.8218403,nan
542978420,542977150,2490378,8039.878,15.702887,125.62309,110.07103,nan,78.514435,nan,nan,94.217316,94.217316,94.217316,7.411504,7.2048616,nan,7.138777,nan,nan,7.791243,6.8218403,6.902157
