timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
73489110,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.09195233,0.0017870236,2.4025408e-11,-0.27873006,0.09907854,-9.962621,-0.006031641,0.02298591,0.008168996,0.0006461215,0.00827022,0.007507808,5.1314887e-06,6.859552e-07,2.2518554e-06,23.50755,23.50755
74499501,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.092088886,0.0019041742,3.3816568e-11,-0.21307789,-0.11389541,-9.975442,-0.020316495,0.020740272,0.016568493,0.00082939205,0.008184306,0.008038041,1.9004534e-05,3.3273855e-07,3.1264128e-05,23.534718,23.534718
75509890,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.08990266,0.0019611618,3.3916783e-11,-0.29108596,0.30684215,-9.890775,0.0026546055,0.016611075,0.03396471,0.0012528927,0.008719544,0.008990508,2.0850382e-05,4.328958e-07,3.1485535e-05,23.5348,23.5348
76520279,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.08265456,0.0017975463,2.0019682e-11,-0.27949348,0.33834308,-9.907054,-0.006901823,0.019412763,-0.018918648,0.00071470055,0.0036121558,0.014850064,6.4250166e-06,7.1304447e-07,1.3496943e-05,23.528685,23.528685
77530672,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.08257189,0.0016387904,1.695104e-11,-0.23539065,0.06594415,-9.90719,-0.018700322,0.014630886,-0.0031874718,0.00066484994,0.0021289408,0.011019108,6.516204e-06,8.3822744e-07,1.2351453e-05,23.550045,23.550045
78541060,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.10021757,0.0019138189,1.7199438e-11,-0.27978837,0.15179871,-9.871529,-0.009412963,0.0133915655,0.008000084,0.0012816836,0.014505751,0.014014753,1.2255402e-05,9.397709e-07,5.9206964e-06,23.557287,23.557287
79551447,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.112716675,0.0018754704,2.9135094e-11,-0.19399142,0.42066914,-10.097317,-0.0076274867,0.029733595,-0.002143931,0.0020518263,0.03793527,0.014420973,1.8737019e-05,1.0797232e-06,1.5949447e-05,23.56892,23.56892
80460816,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.12076251,0.00200248,2.9478187e-11,-0.19515495,0.2485128,-9.953176,-0.0125926575,0.020715045,-0.017970348,0.0007039913,0.012420848,0.015122556,1.4652308e-05,1.067377e-06,2.723589e-06,23.548761,23.548761
81471191,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.10957845,0.0017571896,1.2889963e-11,-0.096353196,-0.14665025,-9.790402,-0.016056722,0.006537168,0.0018262423,0.0006887369,0.030509945,0.009754088,4.231697e-06,6.7943955e-07,7.964694e-06,23.555634,23.555634
82481576,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.10692736,0.0017628743,2.437898e-11,-0.22081856,0.24186786,-10.041089,0.005121391,0.029250823,0.024928786,0.0011109333,0.0056046643,0.007883397,3.7294626e-06,1.1592223e-06,1.1665646e-06,23.558193,23.558193
83492048,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.11078906,0.0018431676,2.2798416e-11,-0.18994404,0.3140634,-9.966086,-0.017396206,0.014937729,-0.016806202,0.0006191078,0.0080670165,0.009818061,1.124021e-05,6.3921556e-07,8.077539e-06,23.566875,23.566875
