timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
41667992,41567031,3.6945734,-1.7147639,-0.15527955,11.985884,-5.533415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9074688,0.0,0.0,nan,0.0,0.0,-0.025167227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42167431,42066588,3.920704,-1.7962279,0.014146179,13.838903,-6.3704557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9174919,0.0,0.0,nan,0.0,0.0,-0.03194499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42666687,42566145,4.34482,-1.8929248,0.12299812,15.85618,-7.3187466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.74121284,0.0,0.0,nan,0.0,0.0,-0.039326668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43166234,43065701,4.477886,-2.1446059,0.06852859,18.035236,-8.347621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5970726,0.0,0.0,nan,0.0,0.0,-0.046070337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43666010,43565258,7.407568,-4.7601657,0.61848915,27.558414,-16.768293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22227478,0.0,0.0,nan,0.0,0.0,-0.037453175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44165559,44064815,6.9955406,-4.584853,0.29062858,32.566628,-19.880629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9373951,0.0,0.0,nan,0.0,0.0,-0.046340466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44665229,44564373,6.976758,-4.583657,0.24765936,36.617172,-22.55762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6324253,0.0,0.0,nan,0.0,0.0,-0.05455613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45164755,45063930,6.939999,-4.477638,0.20740685,40.33005,-24.972303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9817219,0.0,0.0,nan,0.0,0.0,-0.060677767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45664225,45563487,6.72229,-4.416391,0.21011552,44.00873,-27.347368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1431026,0.0,0.0,nan,0.0,0.0,-0.07253194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46163977,46063045,6.6829095,-4.2874203,0.1707419,47.429092,-29.557833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2148609,0.0,0.0,nan,0.0,0.0,-0.08533716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46663378,46562603,6.772076,-3.9734037,0.14856745,50.832397,-31.731867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2202015,0.0,0.0,nan,0.0,0.0,-0.1151526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47162833,47062160,6.728071,-3.8069162,0.14090927,54.226902,-33.73333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2239952,0.0,0.0,nan,0.0,0.0,-0.1251216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47662401,47561718,6.7936687,-3.6498203,0.20571056,57.60716,-35.61981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4346466,0.0,0.0,nan,0.0,0.0,-0.13217163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
