timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
98280601,98255800,458770,-0.15423082,-0.12723534,0.33812785,1
98857601,98840800,458770,-0.13244638,-0.13003364,0.35663766,1
99285090,99276302,458770,-0.14562966,-0.1361351,0.34359992,1
99861880,99848300,458770,-0.14057977,-0.13460708,0.34763247,1
100289237,100277300,458770,-0.14114958,-0.13315439,0.34466442,1
100823847,100779967,458770,-0.14586441,-0.13052592,0.3443908,1
101294288,101284801,458770,-0.13978471,-0.12902832,0.35265562,1
101871182,101863301,458770,-0.13894132,-0.13039517,0.35075405,1
102319789,102298800,458770,-0.13993713,-0.1336739,0.3438624,1
102875718,102825300,458770,-0.13971983,-0.1352455,0.3497945,1
103345724,103325801,458770,-0.14247507,-0.13457547,0.34712285,1
103880041,103827228,458770,-0.14438814,-0.13387434,0.34231955,1
104350043,104339801,458770,-0.14449328,-0.13090967,0.33841026,1
104799202,104781800,458770,-0.14012569,-0.12819086,0.34298345,1
105355038,105306675,458770,-0.14954436,-0.12632352,0.33835316,1
105846571,105834800,458770,-0.13523607,-0.124783486,0.35387495,1
106381046,106343967,458770,-0.14308998,-0.12570533,0.34953186,1
106872867,106861801,458770,-0.15243782,-0.1269879,0.34297803,1
107321568,107303801,458770,-0.143334,-0.12868698,0.3459481,1
107877410,107830300,458770,-0.14254239,-0.12702817,0.34797367,1
108348011,108337300,458770,-0.15260586,-0.124412686,0.32928902,1
108817862,108798801,458770,-0.13926458,-0.12032199,0.3479573,1
109373418,109312300,458770,-0.13963948,-0.12060755,0.34928164,1
109865249,109838800,458770,-0.14495032,-0.12722033,0.34245524,1
110292604,110280800,458770,-0.13464354,-0.1310029,0.3586924,1
110869601,110859302,458770,-0.14387384,-0.13547169,0.33998924,1
111340084,111320801,458770,-0.13574374,-0.1336467,0.35234672,1
111874549,111808300,458770,-0.1541039,-0.132417,0.3332605,1
112344679,112321800,458770,-0.14435512,-0.13013592,0.34242317,1
112857567,112832053,458770,-0.14155215,-0.12729764,0.34717327,1
113349255,113335800,458770,-0.15850449,-0.12702478,0.33758393,1
113883460,113842800,458770,-0.14839521,-0.12790093,0.34176916,1
114353609,114304300,458770,-0.15293749,-0.12858759,0.33350372,1
114823745,114811300,458770,-0.14057982,-0.12727255,0.34762853,1
115358208,115317000,458770,-0.13171238,-0.12248047,0.35632622,1
115871231,115838300,458770,-0.13935333,-0.12170987,0.34977877,1
116319830,116286800,458770,-0.14575282,-0.12189078,0.34877387,1
116833027,116798134,458770,-0.14166878,-0.12724042,0.3458199,1
117303537,117287800,458770,-0.13635091,-0.13264029,0.36081833,1
117880564,117866309,458770,-0.13462877,-0.1324619,0.3544655,1
118329355,118301804,458770,-0.1417933,-0.1305544,0.34545168,1
118842625,118802300,458770,-0.13454843,-0.12786834,0.3573907,1
119334403,119315801,458770,-0.12866277,-0.12465824,0.36433226,1
119868902,119839050,458770,-0.1371448,-0.12331841,0.35589138,1
120317623,120277802,458770,-0.14138055,-0.12277484,0.3545574,1
120852071,120797800,458770,-0.13971908,-0.1248572,0.35558835,1
121365297,121324300,458770,-0.13774595,-0.13003024,0.35399103,1
121856620,121831301,458770,-0.13706043,-0.13585001,0.35190168,1
122369876,122344800,458770,-0.13871717,-0.13760191,0.34729004,1
122840042,122799801,458770,-0.13514881,-0.13254228,0.35632807,1
123353218,123319800,458770,-0.13662194,-0.13012694,0.36046585,1
123866242,123839800,458770,-0.13565427,-0.12786765,0.36542836,1
124379100,124350050,458770,-0.13300902,-0.12641022,0.37235653,1
124848997,124795300,458770,-0.13124017,-0.13071632,0.36980826,1
125362008,125321800,458770,-0.1364458,-0.13343608,0.3670545,1
125874808,125841800,458770,-0.13736272,-0.13519938,0.3652933,1
126323322,126293550,458770,-0.13491671,-0.13482325,0.36359617,1
126857717,126810303,458770,-0.13413455,-0.13326134,0.36575907,1
127371013,127330300,458770,-0.12956375,-0.13063887,0.3669718,1
127884010,127856800,458770,-0.12378373,-0.1279895,0.37218872,1
128332751,128298800,458770,-0.12306279,-0.1256964,0.37334728,1
128845680,128812300,458770,-0.12354022,-0.12382844,0.37518653,1
129380117,129338800,458770,-0.123028256,-0.12873876,0.37383142,1
129871557,129839300,458770,-0.1199563,-0.13149238,0.3711397,1
130277880,130268300,458770,-0.12372856,-0.13087349,0.3625616,1
130876712,130866300,458770,-0.12244227,-0.12676784,0.36415195,1
131346695,131314800,458770,-0.12286877,-0.12636293,0.37068588,1
131881033,131815300,458770,-0.122642234,-0.1273804,0.37393254,1
132287156,132263800,458770,-0.122184366,-0.12974733,0.37429857,1
132885221,132861800,458770,-0.12352458,-0.13315724,0.37736672,1
133312602,133290800,458770,-0.12205302,-0.13276437,0.37775564,1
133868713,133804300,458770,-0.12261831,-0.13526183,0.37696725,1
134338761,134304800,458770,-0.12298328,-0.13560306,0.3743918,1
134851691,134824800,458770,-0.12405528,-0.13636874,0.37396464,1
135364801,135335056,458770,-0.12489587,-0.13574599,0.37609312,1
135813698,135773800,458770,-0.124265336,-0.13469459,0.37236974,1
136348060,136293800,458770,-0.12458478,-0.13197,0.37307373,1
136861308,136820300,458770,-0.12486452,-0.12868306,0.3732167,1
137352700,137324050,458770,-0.124187514,-0.12712342,0.37677002,1
137865611,137840802,458770,-0.1253017,-0.12333143,0.3810516,1
138335669,138295803,458770,-0.119093366,-0.118745245,0.37315923,1
138848883,138802803,458770,-0.12639813,-0.115138516,0.37397936,1
139383035,139329300,458770,-0.12777217,-0.113637775,0.37396792,1
139853374,139842800,458770,-0.12841986,-0.11652271,0.37687567,1
140302157,140284800,458770,-0.12795892,-0.1255757,0.3709756,1
140878947,140869800,458770,-0.12780719,-0.12364633,0.3724748,1
141306641,141292300,458770,-0.122870654,-0.12611848,0.37270397,1
141862301,141815092,458770,-0.12206626,-0.13027914,0.37150615,1
142354122,142334467,458770,-0.12226409,-0.13389729,0.37142572,1
142803054,142767808,458770,-0.121942185,-0.13535306,0.37230295,1
143358727,143339801,458770,-0.122015834,-0.13320407,0.36992344,1
143807732,143794800,458770,-0.12343299,-0.13547821,0.37034523,1
144363270,144309229,458770,-0.12448117,-0.13794315,0.37185782,1
144854848,144847802,458770,-0.12543833,-0.13813743,0.36992282,1
145325323,145283300,458770,-0.12423757,-0.13924992,0.36997736,1
145881229,145816300,458770,-0.12557851,-0.13471952,0.37045166,1
146351300,146329800,458770,-0.12515026,-0.13501215,0.37166375,1
146864170,146840050,458770,-0.12547806,-0.13470891,0.37211764,1
147355959,147343801,458770,-0.1217004,-0.13827778,0.37027457,1
147783408,147759800,458770,-0.1255902,-0.13784967,0.3611722,1
148296467,148273300,458770,-0.12473847,-0.13535984,0.36176136,1
148830615,148788967,458770,-0.12517142,-0.13136742,0.3590809,1
149321853,149306800,458770,-0.124844596,-0.12696429,0.36397794,1
149856312,149807300,458770,-0.123401,-0.12534074,0.36389995,1
150348004,150307800,458770,-0.121938445,-0.12342966,0.37415937,1
150860975,150827800,458770,-0.12361608,-0.12744041,0.37280986,1
151288463,151269800,458770,-0.12347557,-0.12934664,0.37049842,1
151822802,151789800,458770,-0.12281648,-0.13137217,0.3749445,1
152357346,152303300,458770,-0.12180188,-0.13403742,0.3755852,1
152870003,152829800,458770,-0.12348305,-0.13632424,0.37402704,1
153382882,153336800,458770,-0.12446126,-0.13733236,0.37503102,1
153874649,153843800,458770,-0.12411201,-0.13697727,0.3736879,1
154366169,154346488,458770,-0.11885022,-0.13239372,0.37434435,1
154815411,154779800,458770,-0.124996506,-0.13086307,0.37332654,1
155371085,155351800,458770,-0.12635088,-0.13323307,0.37162098,1
155798423,155793800,458770,-0.12436851,-0.13080758,0.37017238,1
156353991,156299175,458770,-0.12720919,-0.12928712,0.3709509,1
156845565,156833800,458770,-0.12265612,-0.12864399,0.3684558,1
157273155,157262800,458770,-0.12708157,-0.12674,0.36640993,1
157871413,157847800,458770,-0.12622827,-0.12472748,0.37074706,1
158320015,158315800,458770,-0.1265297,-0.12409961,0.36791673,1
158876040,158821180,458770,-0.12595205,-0.123329915,0.37152407,1
159367571,159355801,458770,-0.12545113,-0.12171644,0.36887908,1
159795018,159784802,458770,-0.12206608,-0.12352477,0.37307328,1
160372594,160322679,458770,-0.12683651,-0.120901756,0.3727947,1
160842563,160837800,458770,-0.12659502,-0.12006334,0.3734567,1
161291307,161266800,458770,-0.12717998,-0.12063085,0.37287593,1
161868703,161858302,458770,-0.127181,-0.11968341,0.37460417,1
162317379,162306800,458770,-0.12710853,-0.119425006,0.37507463,1
162873249,162821229,458770,-0.12644514,-0.11900369,0.3717017,1
163343447,163333800,458770,-0.1260794,-0.11843773,0.37201202,1
163770745,163756301,458770,-0.12638137,-0.11898707,0.36913872,1
164369322,164347800,458770,-0.12353639,-0.118579626,0.3800246,1
164818014,164798467,458770,-0.12676018,-0.118417345,0.37086496,1
165352294,165305467,458770,-0.12665921,-0.11801243,0.37184882,1
165843992,165816806,458770,-0.12599197,-0.118875146,0.3726167,1
166378319,166317303,458770,-0.12637088,-0.11908046,0.3721643,1
166826928,166817800,458770,-0.12662911,-0.11868083,0.37068084,1
167382665,167334086,458770,-0.12681076,-0.116807505,0.371402,1
167853327,167838300,458770,-0.12724671,-0.11535075,0.3746814,1
168280872,168267300,458770,-0.12738296,-0.11381294,0.3744435,1
168879161,168858800,458770,-0.12701969,-0.1131379,0.37145028,1
169306691,169287801,458770,-0.12717755,-0.11305818,0.36945313,1
169862447,169859801,458770,-0.12669277,-0.11451361,0.37635645,1
170311680,170301800,458770,-0.12643918,-0.11436148,0.3752891,1
170867205,170815304,458770,-0.12645374,-0.11299974,0.37274605,1
171316023,171315801,458770,-0.12675796,-0.11321972,0.3710455,1
171871656,171825400,458770,-0.12733574,-0.11315244,0.37177393,1
172363274,172290805,458770,-0.12639263,-0.11420266,0.3731575,1
172812007,172791301,458770,-0.12656039,-0.11484986,0.3708476,1
173346155,173306969,458770,-0.12597576,-0.113979064,0.37502342,1
173837688,173824800,458770,-0.12200628,-0.1120089,0.37794346,1
174372005,174318800,458770,-0.12666617,-0.11245155,0.37369564,1
174863605,174838800,458770,-0.12764487,-0.11328636,0.37483388,1
175312667,175300313,458770,-0.12711883,-0.11394273,0.37423792,1
175846962,175796467,458770,-0.1267843,-0.11391255,0.37252283,1
176338918,176320800,458770,-0.12715757,-0.11292851,0.37470084,1
176787637,176775800,458770,-0.122955844,-0.11171875,0.3766266,1
177365011,177321803,458770,-0.12630807,-0.11270091,0.37510723,1
177835088,177828801,458770,-0.12709585,-0.11370903,0.37610886,1
178284044,178277300,458770,-0.12706444,-0.113991745,0.37323618,1
178882425,178875301,458770,-0.12651405,-0.114416376,0.37462223,1
179331239,179310800,458770,-0.12719736,-0.11409094,0.3750809,1
179865556,179812228,458770,-0.12698448,-0.11304048,0.37276617,1
180357539,180350800,458770,-0.12685321,-0.11127412,0.37414837,1
180827529,180786301,458770,-0.12594226,-0.111061476,0.37594137,1
181382999,181364800,458770,-0.12693779,-0.11259447,0.37088093,1
181831953,181819800,458770,-0.12677416,-0.11239633,0.3697266,1
182280850,182261800,458770,-0.12706178,-0.112430036,0.3716411,1
182878860,182872801,458770,-0.12743916,-0.11239868,0.3698681,1
183327566,183301800,458770,-0.12676649,-0.11218512,0.3703526,1
183862116,183813675,458770,-0.12687753,-0.11162986,0.3735256,1
184332573,184328801,458770,-0.12752791,-0.11072912,0.37349948,1
184781444,184757800,458770,-0.12649338,-0.11150259,0.3744956,1
185358452,185349313,458770,-0.124884464,-0.1116211,0.38245335,1
185786037,185778300,458770,-0.12626016,-0.112931125,0.37357843,1
186363456,186350300,458770,-0.12661299,-0.11223634,0.3719946,1
186833598,186811801,458770,-0.12559251,-0.11238953,0.37184605,1
187368023,187312300,458770,-0.12672436,-0.11193452,0.37378508,1
187860042,187825800,458770,-0.1265657,-0.11222599,0.37367463,1
188372992,188326306,458770,-0.12689112,-0.112027064,0.37241852,1
188864621,188852800,458770,-0.12711686,-0.11247864,0.3743971,1
189313267,189294800,458770,-0.1269292,-0.11213726,0.375201,1
189869549,189808301,458770,-0.1260677,-0.111779295,0.3740498,1
190318387,190308804,458770,-0.12717405,-0.11199638,0.36973858,1
