timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
70855673,70855656,0.0,0.0,0.0,0.43392506,0.0,1.0,0.0,0.0
70910529,70910515,0.0,0.0,0.0,0.43589744,0.0,1.0,0.0,0.0
70960503,70960489,0.0,0.0,0.0,0.43589744,0.0,1.0,0.0,0.0
71005635,71005622,0.0,0.0,0.0,0.44773176,0.0,1.0,0.0,0.0
71055579,71055566,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71110392,71110378,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71160356,71160342,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71205459,71205431,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71260283,71260269,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71310261,71310248,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71355332,71355319,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71405372,71405358,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71460155,71460141,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71510116,71510098,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71555244,71555231,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71610052,71610038,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71660014,71659999,0.0,0.0,0.0,0.44871795,0.0,1.0,0.0,0.0
71705098,71705085,0.0,0.0,-0.005976096,0.44871795,0.0,1.0,0.0,0.0
71755060,71755047,0.0,0.0,-0.01992032,0.44871795,0.0,1.0,0.0,0.0
71809913,71809899,0.0,0.0,-0.047808766,0.43392506,0.0,1.0,0.0,0.0
71859944,71859930,0.0,0.0,-0.035856575,0.43293884,0.0,1.0,0.0,0.0
71905170,71905156,0.0,0.0,0.0,0.43195266,0.0,1.0,0.0,0.0
71959808,71959794,0.0,0.0,0.0,0.43096647,0.0,1.0,0.0,0.0
72009783,72009769,0.0,0.0,0.0,0.43096647,0.0,1.0,0.0,0.0
72059755,72059741,0.0,0.0,0.0,0.43096647,0.0,1.0,0.0,0.0
72104870,72104822,0.0,0.0,0.0,0.43096647,0.0,1.0,0.0,0.0
72159679,72159665,0.0,0.0,0.0,0.43096647,0.0,1.0,0.0,0.0
72209647,72209633,0.0,0.0,0.0,0.4408284,0.0,1.0,0.0,0.0
