timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
22304647,22204110,0.000141952,0.0015692846,0.001537122,67240471,0,0.08726261,0.17869282,0.0025966028,0.0051034987,0.03355076,0.0007230852,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
22504555,22403931,0.000115740106,0.0011926617,0.0014767331,67240471,0,0.085974224,0.17777115,0.003957159,0.029745348,0.028175144,0.0024284583,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
22704287,22603750,0.00013734988,0.0019461208,0.0011039373,67240471,0,0.08474188,0.17686367,0.00020742258,0.04841901,0.027475428,0.00078700064,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
22904578,22803569,0.0001022876,0.0019453831,0.0010337484,67240471,0,0.08415127,0.17597003,0.005525978,0.008989564,0.02701871,0.0014598343,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
23104027,23003389,9.56726e-05,0.0011753975,0.0009789866,67240471,0,0.08299572,0.17508988,0.0015140943,0.03788035,0.0262507,0.0063204407,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
23303878,23203334,0.00012775017,0.00067237153,0.0016071667,67240471,0,0.08246916,0.17422938,0.00570427,0.0036015112,0.025878198,0.0024795271,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
23503691,23403156,0.00010016106,0.00055065274,0.0014372153,67240471,0,0.081377044,0.17337383,0.00012983214,0.014002047,0.028064033,0.006962747,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
23703524,23602974,7.169935e-05,0.00054287584,0.0012769669,67240471,0,0.080327764,0.17253093,0.0034887935,0.010280326,0.027326776,0.0054892073,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
23903336,23802793,0.00011341472,0.001301545,0.001248229,67240471,0,0.07982262,0.17170034,0.0042595966,0.029611249,0.026896304,0.0032579657,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
24103218,24002613,9.815087e-05,0.0008504673,0.0017200366,67240471,0,0.078833036,0.17088176,0.0028384284,0.008817378,0.029667497,0.0023302867,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
