timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
159686360,159551051,0.11180277,0.010537665,0.10415917,1,0,0,0,0,0,0,0,0,0,0
160684488,160552046,0.10021073,0.011050047,0.09372874,1,0,0,0,0,0,0,0,0,0,0
161683647,161551047,0.09226805,0.011914653,0.085136786,1,0,0,0,0,0,0,0,0,0,0
162682861,162551049,0.084952,0.014113233,0.07721443,1,0,0,0,0,0,0,0,0,0,0
163682538,163551048,0.077438444,0.013309472,0.06944082,1,0,0,0,0,0,0,0,0,0,0
164681231,164551047,0.07177544,0.013258519,0.062493548,1,0,0,0,0,0,0,0,0,0,0
165680247,165550051,0.06679891,0.0137375295,0.057350066,1,0,0,0,0,0,0,0,0,0,0
166679273,166548256,0.062369008,0.013125808,0.051800534,1,0,0,0,0,0,0,0,0,0,0
167678550,167548457,0.05632738,0.011857205,0.045778673,1,0,0,0,0,0,0,0,0,0,0
168677633,168548049,0.05201484,0.009171489,0.041083943,1,0,0,0,0,0,0,0,0,0,0
169676775,169548050,0.048105113,0.0057393895,0.036911435,1,0,0,0,0,0,0,0,0,0,0
170675927,170550051,0.043470446,0.0040674913,0.03401491,1,0,0,0,0,0,0,0,0,0,0
171685395,171551048,0.038200736,0.0034628944,0.030692209,1,0,0,0,0,0,0,0,0,0,0
172684439,172551049,0.03350254,0.0027696337,0.027923284,1,0,0,0,0,0,0,0,0,0,0
173683456,173551382,0.029230133,0.0031693422,0.025567144,1,0,0,0,0,0,0,0,0,0,0
174682642,174550172,0.026395764,0.001899219,0.022841983,1,0,0,0,0,0,0,0,0,0,0
175681608,175550048,0.023884336,0.0021862881,0.021060998,1,0,0,0,0,0,0,0,0,0,0
176680913,176551047,0.02156218,0.001163196,0.018724918,1,0,0,0,0,0,0,0,0,0,0
177679890,177550048,0.019490685,0.0025767318,0.017380007,1,0,0,0,0,0,0,0,0,0,0
178679239,178550065,0.016614988,0.0075733075,0.015467338,1,0,0,0,0,0,0,0,0,0,0
179678180,179550048,0.016052665,0.008754677,0.01381293,1,0,0,0,0,0,0,0,0,0,0
180678059,180550048,0.016693445,0.0075903516,0.012456682,1,0,0,0,0,0,0,0,0,0,0
181676604,181550047,0.015096641,0.0054968125,0.011463532,1,0,0,0,0,0,0,0,0,0,0
182685616,182550639,0.013722466,0.004131857,0.009866769,1,0,0,0,0,0,0,0,0,0,0
183674938,183550049,0.013552444,0.005835835,0.009399425,1,0,0,0,0,0,0,0,0,0,0
184684022,184551219,0.011185409,0.008380716,0.008168931,1,0,0,0,0,0,0,0,0,0,0
185683222,185551048,0.009996209,0.006896416,0.00716984,1,0,0,0,0,0,0,0,0,0,0
186682577,186550049,0.007961075,0.006660416,0.005774898,1,0,0,0,0,0,0,0,0,0,0
187681312,187551053,0.007222076,0.0061048795,0.005837148,1,0,0,0,0,0,0,0,0,0,0
188680605,188550049,0.005836608,0.00655522,0.0054554995,1,0,0,0,0,0,0,0,0,0,0
189680606,189550048,0.006095301,0.007932,0.004411112,1,0,0,0,0,0,0,0,0,0,0
