timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
110707240,3932210,3932170,2490402,3932210,0,0.04042118,0.06469148,0.08058595,0.0,3932210,3932170,2490402,3932210,0,0.004842003,0.0055667902,0.007253683,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
110906768,3932210,3932170,2490402,3932210,0,0.040885724,0.060536068,0.078463525,0.0,3932210,3932170,2490402,3932210,0,0.00504729,0.005790753,0.007609541,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
111106589,3932210,3932170,2490402,3932210,0,0.03907051,0.062384114,0.07887042,0.0,3932210,3932170,2490402,3932210,0,0.0047628745,0.0055282684,0.0071127503,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
111306417,3932210,3932170,2490402,3932210,0,0.045200653,0.06272634,0.08186008,0.0,3932210,3932170,2490402,3932210,0,0.004826483,0.0058523435,0.007658556,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
111511240,3932210,3932170,2490402,3932210,0,0.040437326,0.06240864,0.078547545,0.0,3932210,3932170,2490402,3932210,0,0.004458232,0.0057438156,0.0072628087,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
111711120,3932210,3932170,2490402,3932210,0,0.042475257,0.059689265,0.08123371,0.0,3932210,3932170,2490402,3932210,0,0.004924704,0.0058780615,0.0074535958,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
111906087,3932210,3932170,2490402,3932210,0,0.042765927,0.062416155,0.08094548,0.0,3932210,3932170,2490402,3932210,0,0.004503159,0.005553297,0.006831339,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
112105720,3932210,3932170,2490402,3932210,0,0.042795878,0.06127262,0.08414894,0.0,3932210,3932170,2490402,3932210,0,0.0047345185,0.005619716,0.007177891,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
112305548,3932210,3932170,2490402,3932210,0,0.043779917,0.059972264,0.07999128,0.0,3932210,3932170,2490402,3932210,0,0.0048647877,0.005502974,0.007153905,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
112505703,3932210,3932170,2490402,3932210,0,0.046591606,0.05910675,0.0836649,0.0,3932210,3932170,2490402,3932210,0,0.004736188,0.0056299786,0.007310891,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
112707042,3932170,3932170,2490402,3932210,0,0.0062105875,0.006708259,0.011676896,0.0,3932170,3932170,2490402,3932210,0,0.0007769774,0.0009903964,0.001078807,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
112909603,2490402,3932170,2490402,3932210,0,0.026485672,0.038658895,0.051796608,0.0,2490402,3932170,2490402,3932210,0,0.0028395385,0.0036040514,0.004486737,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
113106605,2490402,3932170,2490402,3932210,0,0.044093255,0.057896458,0.08206974,0.0,2490402,3932170,2490402,3932210,0,0.004379053,0.005256903,0.006839412,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
113308670,2490402,3932170,2490402,3932210,0,0.045057286,0.061133094,0.08217581,0.0,2490402,3932170,2490402,3932210,0,0.0045859963,0.0056445734,0.007065635,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
113505697,2490402,3932170,2490402,3932210,0,0.044214122,0.062144678,0.085317306,0.0,2490402,3932170,2490402,3932210,0,0.0047185016,0.0056669232,0.007313109,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
113707775,2490402,3932170,2490402,3932210,0,0.041677777,0.061313357,0.08412993,0.0,2490402,3932170,2490402,3932210,0,0.0048919,0.005587288,0.0069617876,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
113904843,2490402,3932170,2490402,3932210,0,0.042406946,0.05792546,0.07826285,0.0,2490402,3932170,2490402,3932210,0,0.0048951935,0.005689812,0.0072319657,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
114106894,2490402,3932170,2490402,3932210,0,0.034783773,0.05207001,0.06776079,0.0,2490402,3932170,2490402,3932210,0,0.004179115,0.004630416,0.0060629607,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
114308817,3932210,3932170,2490402,3932210,0,0.03420405,0.04350649,0.06010958,0.0,3932210,3932170,2490402,3932210,0,0.0033541964,0.0042167287,0.005433778,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
114508615,3932210,3932170,2490402,3932210,0,0.03856454,0.057942532,0.077577055,0.0,3932210,3932170,2490402,3932210,0,0.0045418083,0.005213354,0.0068475734,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
114708442,3932210,3932170,2490402,3932210,0,0.044560578,0.059030294,0.08240725,0.0,3932210,3932170,2490402,3932210,0,0.0046796454,0.0056453515,0.0072260834,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
114908267,3932210,3932170,2490402,3932210,0,0.043043956,0.0596519,0.08116779,0.0,3932210,3932170,2490402,3932210,0,0.004711719,0.0053786496,0.0069994316,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
115108092,3932210,3932170,2490402,3932210,0,0.044855934,0.06048935,0.084955364,0.0,3932210,3932170,2490402,3932210,0,0.0048065064,0.005640948,0.0073556765,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
115307920,3932210,3932170,2490402,3932210,0,0.04356477,0.06092587,0.08311209,0.0,3932210,3932170,2490402,3932210,0,0.004660865,0.005643401,0.0073535824,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
115507747,3932210,3932170,2490402,3932210,0,0.046211977,0.060817607,0.08250304,0.0,3932210,3932170,2490402,3932210,0,0.0047492073,0.005705877,0.0073669013,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
115707570,3932210,3932170,2490402,3932210,0,0.043158997,0.061920173,0.08477965,0.0,3932210,3932170,2490402,3932210,0,0.0046445597,0.005654924,0.0071287714,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
115907396,3932210,3932170,2490402,3932210,0,0.043004245,0.05743362,0.08173421,0.0,3932210,3932170,2490402,3932210,0,0.0049763625,0.0056914487,0.007412255,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
116107272,3932210,3932170,2490402,3932210,0,0.045625612,0.06564473,0.08905465,0.0,3932210,3932170,2490402,3932210,0,0.004834248,0.006126988,0.007647389,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
116307104,3932210,3932170,2490402,3932210,0,0.045906026,0.061653282,0.08856295,0.0,3932210,3932170,2490402,3932210,0,0.0049429038,0.0056615258,0.007189351,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
116506898,3932210,3932170,2490402,3932210,0,0.044465475,0.059497096,0.08584321,0.0,3932210,3932170,2490402,3932210,0,0.004988013,0.0058001066,0.0077257934,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
116706701,3932210,3932170,2490402,3932210,0,0.046336956,0.05994639,0.08583013,0.0,3932210,3932170,2490402,3932210,0,0.0050688637,0.0057480247,0.007485387,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
116906532,3932210,3932170,2490402,3932210,0,0.04552624,0.061138015,0.0858828,0.0,3932210,3932170,2490402,3932210,0,0.004924863,0.0059125186,0.007551125,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
117111365,3932210,3932170,2490402,3932210,0,0.045001194,0.05943599,0.08375708,0.0,3932210,3932170,2490402,3932210,0,0.0049515693,0.0056840917,0.0073333466,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
117311191,3932210,3932170,2490402,3932210,0,0.042411353,0.06074187,0.08284611,0.0,3932210,3932170,2490402,3932210,0,0.0050140438,0.005632125,0.0073768036,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
117506007,3932210,3932170,2490402,3932210,0,0.03964738,0.07249285,0.0895437,0.0,3932210,3932170,2490402,3932210,0,0.0048025935,0.005654561,0.0074415193,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
117705834,3932210,3932170,2490402,3932210,0,0.0431615,0.06420311,0.08090989,0.0,3932210,3932170,2490402,3932210,0,0.004714781,0.0056697805,0.0072540767,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
117905681,3932210,3932170,2490402,3932210,0,0.039949413,0.060220826,0.07682518,0.0,3932210,3932170,2490402,3932210,0,0.0046699615,0.005637172,0.0071677403,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
118105575,3932210,3932170,2490402,3932210,0,0.043329436,0.06202124,0.084504254,0.0,3932210,3932170,2490402,3932210,0,0.0044697053,0.005564602,0.0071370364,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
118305466,3932210,3932170,2490402,3932210,0,0.042158615,0.061810635,0.08100316,0.0,3932210,3932170,2490402,3932210,0,0.004563986,0.0058084633,0.0071168505,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
118510142,3932210,3932170,2490402,3932210,0,0.043236982,0.059016164,0.08034194,0.0,3932210,3932170,2490402,3932210,0,0.0047328817,0.005559358,0.0068751588,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
118709974,3932210,3932170,2490402,3932210,0,0.04303361,0.062056933,0.08288785,0.0,3932210,3932170,2490402,3932210,0,0.004849804,0.00562975,0.0073783644,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
118909794,3932210,3932170,2490402,3932210,0,0.043171,0.06128262,0.083711244,0.0,3932210,3932170,2490402,3932210,0,0.004861213,0.005480157,0.007315756,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
119109620,3932210,3932170,2490402,3932210,0,0.043461733,0.061475944,0.08399513,0.0,3932210,3932170,2490402,3932210,0,0.004945572,0.005820399,0.007845933,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
119309445,3932210,3932170,2490402,3932210,0,0.044901974,0.06069957,0.08412759,0.0,3932210,3932170,2490402,3932210,0,0.004852855,0.0058465265,0.007641426,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
