timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
44793043,1662721357499960,387269638,-775182194,63216,28622,0.071,0.00920155,0.22800002,0.35500002,0.47,0.76,107,12,8.152,-6.846,4.4240003,-0.20600002,2.5678606,0,nan,0.0,3,1,1,29,0
45300052,1662721357999961,387269331,-775181941,63307,28714,0.072000004,0.008724028,0.22700001,0.35300002,0.47,0.76,107,12,8.066,-6.7830005,4.3650002,-0.21200001,2.5698066,0,nan,0.0,3,1,1,29,0
45794549,1662721358499960,387269028,-775181692,63373,28779,0.067,0.009358455,0.22600001,0.35200003,0.47,0.76,107,16,7.9800005,-6.7240005,4.2980003,-0.186,2.570642,0,nan,0.0,3,1,1,29,0
46301043,1662721358999961,387268725,-775181452,63450,28856,0.071,0.008832239,0.22500001,0.35000002,0.47,0.76,107,16,7.8680005,-6.7000003,4.125,-0.21100001,2.5896506,0,nan,0.0,3,1,1,29,0
46795042,1662721359499960,387268422,-775181223,63507,28914,0.071,0.009519549,0.224,0.349,0.47,0.76,107,9,7.8090005,-6.768,3.8960001,-0.164,2.618513,0,nan,0.0,3,1,1,29,0
47305258,1662721359999961,387268118,-775181006,63570,28976,0.07700001,0.009540493,0.224,0.34800002,0.47,0.76,107,9,7.655,-6.6930003,3.7150002,-0.108,2.6348574,0,nan,0.0,3,1,1,29,0
47795043,1662721360499959,387267813,-775180798,63638,29044,0.063,0.008921251,0.223,0.34800002,0.47,0.76,107,12,7.727,-6.8410006,3.5930002,-0.17400001,2.6574693,0,nan,0.0,3,1,1,29,0
48304044,1662721360999960,387267505,-775180595,63687,29093,0.086,0.010003878,0.223,0.347,0.47,0.76,107,12,7.6700006,-6.84,3.4710002,-0.086,2.6724122,0,nan,0.0,3,1,1,29,0
48799047,1662721361499959,387267194,-775180397,63724,29130,0.071,0.008843758,0.22200002,0.34600002,0.47,0.76,107,12,7.7880006,-6.9600005,3.4940002,-0.113000005,2.6769173,0,nan,0.0,3,1,1,29,0
49301313,1662721361999960,387266879,-775180197,63765,29171,0.064,0.008936435,0.22100002,0.34500003,0.47,0.76,107,12,7.885,-7.0480003,3.5340002,-0.113000005,2.676737,0,nan,0.0,3,1,1,29,0
49795041,1662721362499959,387266565,-775179992,63813,29219,0.080000006,0.0094445,0.22100002,0.344,0.47,0.76,107,20,7.7750006,-6.925,3.5340002,-0.128,2.6697512,0,nan,0.0,3,1,1,29,0
50302045,1662721362999960,387266254,-775179786,63857,29263,0.071,0.009027715,0.22000001,0.34300002,0.47,0.76,107,20,7.7920003,-6.9040003,3.6120002,-0.18900001,2.6592755,0,nan,0.0,3,1,1,29,0
