timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
47352376,47351903,0.40428331,-0.006611498,-0.023446593,0.91430944,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
47856923,47856457,0.40686035,-0.00631903,-0.02655647,0.91308236,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
48356483,48356015,0.40926078,-0.005174798,-0.029560601,0.9119239,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
48856279,48855573,0.40914956,-0.0024892094,-0.0326054,0.91188127,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
49355523,49355131,0.40547696,-0.0032790725,-0.029803468,0.91361344,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
49855080,49854689,0.40103316,-0.0006298175,-0.02487335,0.9157255,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
50354639,50354248,0.39463308,0.0010047558,-0.02116747,0.9185944,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
50854217,50853806,0.3910709,0.0034168626,-0.01989672,0.92013913,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
51353873,51353365,0.392129,0.004331125,-0.024082622,0.91958475,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
51853317,51852923,0.39870495,0.00144163,-0.030119196,0.9165835,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
52357873,52357478,0.4027223,-0.0005647247,-0.037095085,0.9145701,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
52852436,52852041,0.39695412,0.00011978877,-0.037266143,0.9170816,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
53351995,53351600,0.38616255,0.0017142761,-0.03320594,0.92183125,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
53851553,53851159,0.37619102,0.0039200634,-0.028897244,0.9260831,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
54356111,54355713,0.3695172,0.0063669095,-0.026820106,0.92881495,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
54855668,54855273,0.36728758,0.008498105,-0.02600377,0.929705,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
55355227,55354832,0.35791904,-0.09918863,-0.03784001,0.92769814,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
55854792,55854391,0.37073773,-0.074402384,-0.03421375,0.9251202,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
56354346,56353951,0.3767518,-0.07897892,-0.038199093,0.92215043,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
56853906,56853510,0.35949492,-0.05303233,-0.033033114,0.93105316,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
57353462,57353070,0.32985952,-0.019640654,-0.019263437,0.9436291,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
57853025,57852629,0.3197576,-0.011912959,-0.00914051,0.9473805,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
58352585,58352189,0.31474465,-0.007305432,-0.001272753,0.94914746,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
58857139,58856744,0.31983462,-0.0022342412,0.0024383215,0.9474677,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
59356704,59356304,0.33035052,0.003958038,0.0032151868,0.94384456,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
59856271,59855864,0.34674612,0.006476385,-0.0030593434,0.9379318,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
60350824,60350428,0.35901386,0.0065672165,-0.010589345,0.9332491,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
60855386,60854984,0.3647253,0.0067207585,-0.01329514,0.930996,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
61354937,61354544,0.3613172,0.010405035,-0.010809181,0.9323223,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
61854944,61854104,0.35153836,0.016036158,-0.0030935232,0.93603104,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
62354058,62353665,0.3429677,0.019916594,0.004825961,0.93912375,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
62853616,62853225,0.33854684,0.021998037,0.007364369,0.94066364,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
63358183,63357781,0.34115797,0.022508007,0.002186975,0.939734,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
63852759,63852346,0.34618342,0.02078656,-0.0024558222,0.9379334,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
64352407,64351906,0.35206547,0.019344583,-0.006639997,0.93575186,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
64851859,64851467,0.35493246,0.019538179,-0.008913295,0.93464524,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
65356427,65356023,0.35430297,0.022512445,-0.0068544904,0.9348346,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
65856203,65855584,0.3503544,0.025470657,-0.003688372,0.93626356,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
66355561,66355145,0.34533888,0.027635239,0.001500185,0.9380699,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
66855107,66854705,0.34329426,0.025420818,0.0011169766,0.9388832,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
67354668,67354266,0.34589216,0.021745771,-0.005394435,0.9380067,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
67854235,67853827,0.34919876,0.020375738,-0.009258256,0.93678147,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
68353895,68353389,0.35245937,0.020120353,-0.011488486,0.9355403,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
68853413,68852951,0.35216367,0.021845168,-0.010398128,0.93562573,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
69352917,69352513,0.34600455,0.024267497,-0.0062428215,0.93789816,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
69857465,69857071,0.33788034,0.02761396,-0.00011433769,0.94078386,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
70357026,70356632,0.33606693,0.028439544,0.00083667453,0.94140834,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
70851602,70851199,0.33921614,0.024571527,-0.0049101184,0.94037473,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
71356150,71355756,0.34381297,0.021102633,-0.011574758,0.9387297,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
71855711,71855318,0.3476278,0.02114807,-0.012257084,0.93731403,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
72355274,72354881,0.34900028,0.021916281,-0.011325316,0.9367979,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
72854841,72854442,0.34821755,0.02287352,-0.0099019185,0.93708235,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
73354523,73354004,0.34700444,0.022901105,-0.00952354,0.93753546,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
73854085,73853691,0.34585053,0.023997137,-0.008413027,0.937945,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
74354017,74353254,0.34577212,0.023638526,-0.010094194,0.9379664,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
74853418,74852816,0.34247637,0.02418691,-0.00893416,0.93917257,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
75352874,75352379,0.33645546,0.026435034,-0.0020218508,0.9413261,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
75852517,75851940,0.33252066,0.028372973,-0.0017570767,0.9426675,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
76356908,76356497,0.33260694,0.02810682,-0.0059702764,0.9426277,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
76856564,76856060,0.33505943,0.028271839,-0.010708121,0.94171184,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
77356243,77355622,0.33892006,0.0285627,-0.01222225,0.9403021,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
77855580,77855184,0.3414884,0.029142778,-0.013762717,0.93933326,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
78355142,78354747,0.3427166,0.029993322,-0.013718885,0.93885976,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
